Source,Target
PPARG,LEP
RUNX2,BMP2
RXRA,EPO
MYC,CD5
TBP,FOS
TBP,NF1
MZF1,PKD1
MNX1,IL6
MNX1,PIK3R1
MNX1,MNX1
TRIB3,ATF4
HIVEP1,SPEN
CEBPG,CSN1S1
CEBPG,PRL
HIF1A,MMUT
MYC,HIF1A
HIF1A,MYC
HIF1A,SP1
MYC,MMUT
CRX,ALDH7A1
TBX3,CDKN2A
NFE2L2,CASP1
NFE2L2,NFE2
NFE2L2,AHR
MNX1,INS
NEUROD1,NNAT
HIF1A,JUN
HIF1A,LDHA
HIF1A,PGK1
JUN,LDHA
RUNX2,CSN2
MEF2A,JPH2
JUN,RASGRF1
JUNB,RASGRF1
JUN,TNFRSF1B
JUNB,TNFRSF1B
NR3C1,FAS
TP73,BDKRB2
E4F1,RASSF1
E4F1,CD44
HIF1A,PIK3C3
MYC,CHUK
NFKB1,SAA2
ESRRG,ESRRA
PPARG,ESRRA
ESRRG,ESRRG
HOXB2,HOXB3
TCF3,DLD
TCF3,SULT2A1
NR3C1,CSF2
NR3C1,IL5
RUNX2,FGFR2
TWIST1,FGFR2
JUN,BGLAP
JUN,NACA
GATA6,CYB5A
PPARA,FABP3
CEBPG,HBB
POU4F2,HSPB1
DLX4,OGA
NFKB1,NPPB
SMAD3,EDN1
PPARA,GRHPR
JUN,GH1
JUNB,GH1
TBX2,TBX20
TBX20,TBX2
TBX2,MYCN
TBX20,MEF2C
GATA4,MEF2C
GATA4,NKX2-5
TBX20,NKX2-5
SIX3,BMP4
PPARA,ELOVL3
SREBF1,ELOVL3
NFKB1,OLR1
TP73,SERPINF1
POU5F1,NANOG
HR,ICAM1
CEBPG,AVP
NEUROD1,INS-IGF2
TCF3,INS-IGF2
NFE2L2,FGF1
NFE2L2,NGF
ZNF384,EFNB2
TBP,TRRAP
JUN,ABCC1
SREBF1,IRS2
PPARG,SLC2A2
NFKB1,SELP
NFE2L2,GSS
JUN,CXCL16
JUNB,CXCL16
JUN,PIK3C3
JUNB,PIK3C3
MEF2A,SMYD1
MEF2C,SMYD1
BCL6,CD22
BCL6,CD79A
BCL6,MME
BCL6,MS4A1
BCL6,SPI1
MZF1,MUC1
SREBF1,HPGD
NFATC2,ENPP2
HMGA1,CD44
HIF1A,ITGAM
JUN,CSN1S1
NEUROD1,SST
NEUROD1,GCG
HIF1A,PCK1
PPARG,FN1
KLF3,LTB
NFKB1,LTB
PPARG,PC
RXRA,PC
NFKB1,TAC1
SREBF1,SLC2A2
HIF1A,ABCA1
SMARCC1,AR
SMARCC1,KLK3
JUNB,CD44
TFAP4,OGG1
MEF2A,AVP
MEF2A,CKM
VHL,HIF1A
HIF1A,VHL
NR3C1,CYP2C8
PPARA,FABP6
NFKB1,IKBKE
ARID5A,ESR1
ARID5A,SRSF2
TLX1,TLX1
NR3C1,IL7R
GFI1,CYP27B1
POU2F1,CDX4
PPARA,NOS2
MEF2A,GRIN1
NFKB1,GRIN1
MEF2C,FSD1
JUN,PTK2
NFKB1,TNFRSF10B
NFKB1,HLA-DRB1
NFKB1,NR4A1
MYC,WNT4
CRX,ABCA4
CRX,GUCY2D
NFKB1,TP53BP2
JUN,RAB11A
JUNB,RAB11A
NFATC2,RCAN1
MYC,MYCBP
DMRT1,DMRT1
NFKB1,MALT1
GATA4,COL1A2
JDP2,SRC
TP73,CDKN1C
RUNX1,NF1
FOSL1,GCLC
MYC,OGA
MYC,TFAM
HIF1A,CCND1
TFE3,CDH1
TFEB,CDH1
IRF3,TNFSF10
JUNB,MMP2
MYC,STAT3
JUN,CD9
JUNB,CD9
NFKB1,PTBP2
NRG1,HSP90B2P
HIF1A,STAT3
JUN,CYP2J2
JUNB,CYP2J2
PPARG,CDKN2B
JUN,GCLM
NFE2L2,TNF
KLF2,HBG1
HIF1A,SOX9
GATA6,DAB2
TBP,EIF4E
NR3C1,G6PC1
MEF2A,TNNT2
NFKB1,CFLAR
ZNF267,MMP10
ZNF362,MMP10
SREBF1,INS
SMAD3,CCND2
SMAD3,CCND3
SMAD3,E2F2
SMAD2,GSC
CEBPG,PTGER4
POU2F1,GATA2
NFKB1,VIM
POU2F1,SFRP2
POU2F1,SOX2
NFKB1,S100A7
CEBPG,VIP
NFKB1,VIP
PPARA,G0S2
JUN,IBSP
TBP,TAF4B
IRF4,TLR4
NR3C1,ORM1
HIF1A,MET
KLF2,DLK1
SMAD9,MSX1
RXRA,SREBF1
CUX1,CCND2
KLF2,IL2
POU2F1,CRP
ID2,HNRNPH1
ID2,TRB
RUNX1,CDH1
PROX1,SOX2
SIX3,SOX2
NR3C1,SLC10A1
JUN,CYP51A1
ID2,COL1A2
PPARG,CD5L
TLX2,RET
NFKB1,CDH2
NFKB1,SDC1
TP73,CASP1
TP73,IFNG
JUN,TERT
JUNB,TERT
TP73,TAT
HIF1A,PDGFB
NFKB1,IVL
CTCFL,CTAG1A
SOX6,INS
JUN,ETS1
JUNB,ETS1
JUN,GCH1
HEY2,DYM
HEY2,MYOCD
POU4F2,JUP
POU4F2,CDH1
FOXA2,ADH1A
HIF1A,CAD
HIF1A,EGLN1
FOXI1,SLC4A9
SMAD9,FOXE3
KLF2,MAP2K5
RUNX2,MMP9
IRF4,TNFSF10
JDP2,PLXNB2
MYC,PLXNB2
POU2F1,OLR1
JUN,MAP2K6
JUNB,MAP2K6
NFKB1,LIPG
PPARG,TG
TP73,IGF1R
TP73,INSR
POU2F1,AHSP
IRF3,LITAF
NR3C1,NCOA1
POU2F1,BCL2
JUN,HES1
POU1F1,OGN
JUN,PTN
JUNB,PTN
GATA6,LMCD1
HEY2,NPPA
TP73,AFP
SMAD3,TERT
TCF3,ABCB1
ESRRG,PPARGC1A
NFKB1,GH1
JUN,IL18R1
JUNB,IL18R1
JUN,IL6ST
JUNB,IL6ST
POU1F1,CREBBP
NFKB1,CD3E
NFATC2,CD4
NFKB1,NFATC1
IRF3,CISH
IRF3,IL12A
IRF3,IL2RB
JUN,LTBP3
JUNB,LTBP3
NFYA,ABCB1
JUN,MUC2
JUN,BRCA1
JUNB,BRCA1
ID2,LIPE
NFATC2,IFNG
RUNX1,KLK3
RUNX2,KLK3
IRF8,IGFBP1
NR3C1,MUC5AC
PPARA,CDKN2A
PPARA,NR1I2
NFE2L2,IGKV6-21
NFE2L2,MGST1
IRF4,IRF4
RUNX1,ELANE
JUN,NECTIN2
JUN,C3AR1
JUNB,C3AR1
NR3C1,ABCG4
NR3C1,ABCA1
JUN,FABP6
HMGA1,IL10
NFKB1,SAT1
NFKB1,PDK1
SIRT1,HIC1
PPARG,LIPE
GATA6,KRAS
JUN,PLIN2
JUNB,PLIN2
NR3C1,TDO2
IRF4,SPI1
IRF4,TRIM63
NFKB1,BTG1
TFAP4,LCP1
JUNB,MUC2
MYC,S100A7
ID2,INHBA
PPARA,NPHS1
CUX1,ABL1
PROX1,FGFR3
PPARA,UGDH
RXRA,UGDH
GATA6,HLA-E
MZF1,PRKCA
POU2F1,GLB1
POU2F1,STAT4
PPARG,PRODH
NR3C1,FN1
JUNB,SRC
IRF8,NCOA3
IRF8,TAT
SREBF1,CYP17A1
TLX2,SLC8A3
JUN,GRIN2B
JUNB,GRIN2B
ESRRG,NR0B1
RUNX1,POLR2F
RUNX1,SKP1
MYC,CLIC4
MYC,BCL2
MYC,BCL2L1
MEF2A,SLC6A6
SMAD2,COL1A2
MYC,LDHA
NFKB1,INSR
POU1F1,VDR
POU1F1,XPR1
ID2,TNFSF11
ID2,OSCAR
DLX4,CTBP1
TBP,GTF2F1
TBP,GTF2F2
TBP,HSPA4
SREBF2,ACOT7
HSF2,CLU
PPARG,MAPK1
RUNX1,ADA
NFKB1,PGR
NFE2L2,VCAM1
NFE2L2,CCL2
NFE2L2,IL1B
NFE2L2,MAPK14
HMGA1,BAX
HMGA1,CDKN1A
TP73,WNT4
MAF,CCN2
TFAP4,TARBP2
POU2F1,SPI1
NFKB1,UPK1B
NFE2L2,PI3
SREBF1,HDC
MYOG,MUSK
HR,MUSK
JUN,CCL15
JUNB,CCL15
NFKB1,CCL15
MYC,MAPK14
SREBF1,SCD
RUNX1,IER3
RUNX1,TPO
JUN,COL24A1
MYC,LARGE1
SREBF1,GK
SREBF2,CASP2
MYC,GABRA6
NFKB1,UPP1
HIF1A,CCNA2
HIF1A,EGF
HIF1A,FGF2
TLX2,PHOX2B
MYC,POLE3
PPARG,BACE1
NFKB1,CYBB
NFKB1,LARGE1
SREBF1,PCSK9
NFKB1,ERVK-6
SP7,TNF
FOXA2,REG3G
TBP,AFM
TP73,TP63
SMAD3,CILP
PPARA,NPC1L1
JUN,DEFB4B
JUNB,DEFB4B
JUN,TLR4
JUNB,TLR4
NFE2L2,ABCC2
MZF1,ERCC1
NFE2L2,EPHX1
CEBPG,OSR2
JUN,RAC1
MYC,CCR5
MYC,NME1
RUNX2,GNAS
JUN,CISH
JUNB,CISH
NFE2L2,SPARC
TP73,S100A2
JUN,TFF1
JUNB,TFF1
JUN,MAP3K1
MYC,PUF60
NFKB1,MTDH
GATA4,HSPA5
JUN,NOS3
JUNB,NOS3
CEBPG,MMP1
PPARG,MAP3K14
PPARG,MAP4K4
SOX6,HBE1
NFKB1,GCA
MYC,CXCL12
GATA4,BCL2
RUNX2,PTGS2
NFE2L2,AKR1C2
SREBF1,VEGFA
NFKB1,ST8SIA1
MYC,GCLC
JUN,HSP90AA1
NFKB1,CREBBP
NFKB1,HSP90AA1
SIX1,EZR
MYC,AKT1
PPARG,PDX1
PATZ1,CD8A
PPARA,TXN
PPARA,ACADM
ZEB1,CCNG2
ZEB1,RBL2
NFKB1,HAMP
JUN,MMP7
JUNB,MMP7
NFKB1,TNFSF13B
NFE2L2,FMR1
NFATC2,PLD1
NFKB1,CD28
MEF2A,BCO1
PPARG,BCO1
MEF2C,BCO1
PPARA,BCO1
HIF1A,IL1B
HIF1A,AVP
HIF1A,CISH
HIF1A,NPPB
MYC,BMAL1
MYC,CLOCK
CUX1,CCNE2
MEF2C,MAML1
HIF1A,POU5F1
MYC,BTRC
PPARG,PPARGC1A
CEBPG,TH
POU1F1,NPFF
POU2F1,NPFF
NFKB1,FCGR1A
NFE2L2,COX4I1
NFATC2,FOXP3
JUN,NLRP2
JUNB,NLRP2
JUN,REG3A
JUNB,REG3A
NEUROD1,REG3A
NR3C1,SGK1
TBP,TFAP4
TFAP4,TFAP4
SREBF2,PRSS8
HIF1A,BRCA1
JUN,AVP
NFE2L2,NQO2
NFKB1,CA2
ZNF569,ETNK1
NFE2L2,PIK3C3
NFE2L2,GSK3B
CUX1,RAC3
AIRE,INS
PPARA,BMAL1
PPARG,TERT
GATA6,SEMA3C
ID2,FGFR1
ID2,TP53
NFKB1,AP3B1
MEF2A,SUMO1
JUN,GFAP
JUNB,GFAP
PPARA,PEX11A
NFKB1,OXTR
RUNX2,SP7
SP7,RUNX2
SP7,SP7
CRX,OPN1SW
RUNX2,LEF1
NFKB1,TGFA
TP73,FASN
MYC,IL4
FOXA2,AHSG
MYC,MAPK1
DLX4,VEGFA
PHF20,CIITA
PHF20,HLA-E
HSF2,IL12A
JUN,IL12A
HIF1A,CFC1
HIF1A,XIAP
MYC,CFC1
MYC,FLT1
MNX1,MEN1
NFKB1,NR1I2
NR3C1,ADIPOR2
PPARG,ADIPOR2
PPARG,TGFB1
HIF1A,TGFB3
NFE2L2,BGLAP
SREBF1,PFKFB1
POU2F1,PTPRC
ONECUT1,CCND1
IRF3,NOTCH1
IRF3,TP63
SMAD3,MMP9
GATA6,WNT2
PPARA,PDK4
MYC,YBX2
FOXA2,PPP1R3C
RUNX1,IL19
NFKB1,ADAM17
OVOL1,MYC
MYC,OVOL1
TP73,GAST
ZBTB16,PBX1
FOXA2,FOXO1
NR3C1,CCND1
TP73,P2RY4
SIX1,SIX1
JUN,CD69
JUNB,CD69
JUNB,IL2RA
JUN,TSPOAP1
JUNB,TSPOAP1
JUN,PTEN
JUN,STIM1
JUNB,STIM1
NFKB1,FGF8
POU1F1,CNTF
POU2F1,CNTF
POU3F1,CNTF
SMAD6,DLX3
DLX3,ESX1
JUNB,NPPA
SREBF2,LRP1
NFKB1,WDTC1
ID2,CDKN1C
TCF3,CDKN1C
JUN,IRS2
JUNB,IRS2
IRF8,CCL5
NFKB1,CCN2
SMAD2,TGFBR2
SMAD3,TGFBR2
SMAD2,IFNG
SMAD3,IFNG
ZNF492,RPE65
NFKB1,PGLYRP2
POU5F1,ZFP42
ZFP42,ZFP42
POU2F1,MUCL1
CEBPG,NOBOX
RUNX2,NOBOX
SMAD2,INHA
SMAD3,INHA
NFKB1,E2F1
NR3C1,MAOA
JUN,PPARGC1A
HR,DMD
SMAD3,TPSD1
SFPQ,TH
SP7,COL11A2
SMAD2,CSRP2
SMAD3,CSRP2
GABPA,RB1
FOXA2,LCN8
CEBPG,SLC2A4
HOXD4,HOXD4
SMAD3,BCL2
NR3C1,FASLG
JUN,MUC5AC
JUNB,MUC5AC
ID2,RBL2
HR,SGIP1
CRX,BTRC
NFKB1,BTRC
NFKB1,DBI
MLXIP,LDHA
MLXIP,PFKFB3
PPARA,ABCG2
PPARG,ABCG2
JUN,ERBB2
SREBF1,SLC2A4
SREBF2,ABCA7
HIF1A,PDC
NFKB1,NFKBIB
NFE2L2,GPX2
TBP,SGCA
JUN,MAPK14
NFE2L2,ABCC3
RUNX2,TGFBR1
PPARA,ACMSD
CEBPG,SCD
JUN,RARA
JUNB,RARA
IRF3,IRF1
HIF1A,NAMPT
PPARA,ACOX1
NFKB1,DEK
TP73,HAGH
TWIST1,TNF
RUNX1,RARB
SMAD2,FBLN5
SMAD3,FBLN5
HR,TGFB1
HIF1A,CXCR4
POU5F1,DPPA4
POU5F1,GJA1
POU5F1,TDGF1
HIF1A,BIRC5
NFKB1,SHH
HIF1A,F3
NFKB1,PTGFR
NR3C1,NR0B1
SMAD3,ACTA2
NFKB1,CDH1
HOXB7,FGF2
ZBTB16,ADAMTS7
ZBTB16,ANGPT2
ZBTB16,FGF2
ZNF384,MMP13
MEF2A,MMP10
HIF1A,MRGPRF
MYC,CHRNA3
MYC,ITGB1
POU1F1,EGF
NFATC2,ICOS
NFATC2,MAPK1
HIF1A,DLD
SMAD2,MSTN
PPARG,TP53
NFATC2,ACP5
NFKB1,IFNGR2
MAFA,SYTL4
JUN,TGFB3
SMAD3,TGFB3
RUNX1,NCAM1
TCF3,NANOG
TCF7L2,SALL4
SREBF1,SERPINE1
NFKB1,SKP2
OVOL1,GADD45A
OVOL1,GADD45B
OVOL1,LEMD3
OVOL1,SGK1
JUN,ERBB4
JUNB,ERBB4
NEUROD1,MAP2
ESRRG,DNASE1
PPARA,CCND1
RXRA,LDLR
JUN,POMC
JUNB,POMC
NFKB1,POMC
NFE2L2,SMARCA4
ZHX2,OCLN
RUNX1,MAPK1
TFE3,CD40LG
TFEB,CD40LG
DLX4,EIF4E
ZNF217,CALCA
ZNF217,HP
TBP,BTK
PPARA,TRIB3
RXRA,FABP1
PPARG,SOD1
TCF3,SP1
HEY2,CDKN1B
NFKB1,BHMT
NFYA,ADIPOQ
HOXB2,IFNB1
POU5F1,LEFTY1
ARNT,HIF1A
HIF1A,ARNT
PPARA,MPO
HIF1A,OCM2
HIF1A,TERT
RUNX1,RUNX3
MYOG,PIAS1
NR1D1,SERPINE1
ONECUT1,TBP
MYC,HNRNPUL1
PPARG,CD1D
RUNX1,SH3GL1
TCF3,DTX1
RUNX1,GATA2
PPARG,MC2R
NOBOX,POU5F1
NOBOX,GDF9
JUN,SLC26A3
RUNX1,LYZ
TP73,CDC25A
MYC,ALB
MEF2C,MYOCD
MEF2C,SRF
HIF1A,CITED2
HIF1A,NBN
PPARA,ABCA1
PPARG,ABCA1
IRF3,CXCL8
RUNX2,NELL1
NFKB1,STAT4
PROX1,KDR
CTCFL,PRMT7
OVOL1,OVOL2
NFKB1,IGF1R
GATA4,RASA1
POU3F1,MPZ
MYC,NDRG2
TP73,SHH
HOXB2,KRT8
SATB1,BCL2
DLX3,RUNX2
DLX3,NPPA
PPARA,IGFBP1
NR3C1,MYLK
GATA6,BMP4
GATA6,DKK1
GATA6,DPPA4
GATA6,LEFTY2
GATA6,THY1
HLX,BMP4
HLX,DPPA4
HLX,LEFTY2
HLX,THY1
ID2,BMP4
ID2,DKK1
ID2,DPPA4
ID2,LEFTY2
ID2,THY1
POU5F1,BMP4
POU5F1,DKK1
POU5F1,LEFTY2
POU5F1,THY1
TBX18,DKK1
TBX18,DPPA4
TBX18,LEFTY2
TBX18,THY1
ZFP42,BMP4
ZFP42,DKK1
ZFP42,DPPA4
ZFP42,LEFTY2
ZFP42,THY1
PROX1,CDKN1B
PROX1,CDKN1C
JUN,CFLAR
TBP,MAPK8
TBP,MAPK9
CEBPG,NEUROD6
NFE2L2,ADRA1D
NFE2L2,GSTK1
ESRRG,PDK4
NFKB1,BNIP3
ZBTB16,PIK3C3
ZBTB16,PIK3R1
ZBTB16,IK
MAF,BTK
NFKB1,SPTAN1
TFE3,BEST1
TFEB,BEST1
NR3C1,AFP
JUN,AFP
JUNB,AFP
MYC,MTDH
JUN,LIMD1
JUNB,LIMD1
JUN,TRAF6
JUNB,TRAF6
TBP,AURKA
TBP,CCNB1
NFYA,AURKA
HIF1A,CASP3
MEF2A,MEF2C
MEF2C,MEF2A
RUNX2,NFATC2
JUN,NFATC4
JUNB,NFATC4
ARNT,AQP5
HIF1A,AQP5
MEF2A,ATF3
NR3C1,BNIP3
JUN,ALK
JUNB,ALK
DLX3,PGF
DLX4,IFNA1
DLX4,IFNG
PPARG,TFF2
JUN,VDR
BCL6,GZMB
ZNF217,CDH1
JUN,CXCR4
JUNB,CXCR4
JUN,ABCB11
JUNB,ABCB11
CRX,PDE6B
RUNX1,SLC22A4
NFKB1,SLC22A4
NFKB1,ST3GAL1
HIF1A,PFKFB1
HIF1A,PFKFB2
POU4F2,BAX
CEBPG,CYP2A13
MAFA,GLP1R
MAFA,PC
MAFA,PCSK1
MAFA,SLC2A2
NR3C1,INS
MYC,BMI1
JUN,SLC1A3
JUNB,SLC1A3
RUNX2,FGF18
NFE2L2,MTIF2
ZNF384,GFAP
JUNB,AKT1
JUNB,TNFRSF11A
JUN,MDM2
JUNB,MDM2
GATA4,APC
GATA4,MGMT
MYC,BIRC5
TBX3,BMP4
TBX2,BMP4
MEIS2,EPHA8
HMGA1,PIK3R1
HIF1A,CCR7
HIF1A,CD44
NFKB1,CCL19
IRF3,CCL19
JUN,PAK3
JUN,DACH1
JUNB,DACH1
POU5F1,TCL1A
CEBPG,ORM1
ZNF384,AFP
MYOG,SMARCA4
JUN,SP1
POU3F1,MMP19
POU3F1,IVL
JUNB,PENK
NFKB1,FGF7
NFKB1,BCL10
SMAD2,SERPINB5
FOSL1,IVL
MEF2C,MAPK1
JUN,HIPK3
NFKB1,TSLP
GFI1,BAX
PPARG,SLC1A2
PPARG,SLC1A3
RUNX2,PRKN
IRF3,IRF3
JUN,NOTCH4
JUNB,NOTCH4
NR3C1,NOTCH4
HIF1A,TXN
HIF1A,TXN2
HIF1A,EIF4E
ONECUT1,TTR
NFKB1,SPP1
CUX1,WNT5A
GATA4,CYP19A1
GATA4,FSHB
NFATC2,CD40LG
JUN,GAB2
NFKB1,FCGR2B
TFAP4,CEBPA
POU2F1,EMC10
TCF3,CDH5
CEBPG,SMYD2
KLF2,TNF
GFI1,MMP8
NFKB1,RBBP4
NFKB1,NOS1
SMAD3,PAX6
NEUROD1,FOS
NFKB1,A2M
NFKB1,IL20
NFKB1,ERVW-1
MAFA,PDX1
NEUROD1,MAFA
MAFA,NEUROD1
NEUROD1,PDX1
NFE2L2,ELANE
TBX3,TP53
FOXA2,CPT1A
FOXA2,HMGCS2
FOXA2,SLC25A1
PPARG,NAMPT
TCF3,GFI1B
GATA4,BCL2L1
PPARA,PPARGC1A
HR,CCL2
JUN,MCAT
JUNB,MCAT
JUN,LYPD3
TFE3,MET
RUNX1,CDKN2B
MYC,SPTA1
HIF1A,RUNX1T1
NFYA,CCNB2
SMAD9,BMP2
BCL6,PCGF1
IRF3,PRKCA
NFKB1,PRKCB
NFKB1,CREB3
ZNF143,FEN1
ZNF395,SLC5A5
NFE2L2,TOMM20
SMAD2,ACTA2
HIF1A,BACE1
NFE2L2,IGKV2D-26
CEBPG,YWHAE
JUNB,CIITA
CRX,GNGT1
ATF6,MBTPS1
ATF6,MBTPS2
ATF6,S1PR1
NFKB1,MBTPS1
NFKB1,MBTPS2
NFKB1,S1PR1
ATF6,ATF6
NFKB1,ATF6
JUNB,BGLAP
NFKB1,KCNH2
HOXA7,CDKN1B
OVOL1,OVOL1
NFKB1,ABL2
NFKB1,EPHB2
NFKB1,HPSE2
NFE2L2,AQP1
NFE2L2,CREBBP
POU2F1,CDKN2B
NFKB1,GAPDH
NFKB1,DRD2
JUN,SLC38A1
JUNB,SLC38A1
RUNX1,GZMB
MYC,PTK2
NFYA,ASF1A
NFYA,ASF1B
PPARG,IVL
TWIST1,AKT2
JUN,XIAP
JUNB,XIAP
NFKB1,DMP1
NFKB1,AGR2
TP73,CKS2
TBP,IL2RA
MEF2C,MYOZ1
NFKB1,MYOZ1
MYC,PKLR
MYC,FOXM1
MYC,MLXIPL
MEF2A,ASPH
SATB1,SPARC
FOSL1,CCNA2
NFKB1,BMP4
RUNX2,ESR1
RUNX2,TERT
NEUROD1,GHRL
PPARA,BRS3
HIF1A,HIF3A
ARNT,MYOCD
AIRE,MUC6
ZEB1,COL1A2
HIF1A,LIFR
PPARA,SPP1
ELF2,VCP
JUN,CCL23
JUNB,CCL23
NFKB1,SIRT1
NFKB1,TNFSF11
GFI1,SOCS3
MEF2A,SNRPB
TP73,CKS1B
RUNX1,IFNG
RUNX1,IL2
NFKB1,PRDX6
NFKB1,IKZF3
TFAP4,IKZF3
NFKB1,BACE1
JUNB,JUND
NFKB1,ATRAID
NFKB1,PTHLH
ZEB1,PKP3
NFKB1,KIR3DL1
GFI1,BIRC5
NFKB1,FSTL3
NFATC2,PSMA5
NFATC2,PRKCG
JUN,CRHR1
JUNB,CRHR1
JUN,NFKB1
JUNB,NFKB1
NFKB1,DCSTAMP
JUN,DCSTAMP
JUNB,DCSTAMP
IKZF4,CTSK
GATA4,ABCG8
GATA6,ABCG8
BCL6,GHRHR
PPARA,CYP2C9
PPARA,CYP4A11
TBX2,COL1A2
FOXA2,PC
SOX6,CCND1
PPARA,HMOX1
PPARG,HMOX1
JUN,TIMM17A
MYC,TIMM17A
MEF2A,ABRA
JUN,TCIRG1
JUNB,TCIRG1
NFKB1,IGF2BP2
HIF1A,KLK3
MAF,CDKN1B
JUN,HRK
RUNX1,CDK6
HIF1A,ABCB1
RXRA,PLD1
PPARG,GYS2
PPARA,GYS2
NFKB1,YY1
SREBF1,PTGDS
JUN,SAG
JUNB,SAG
HIF1A,ACAN
JUN,IL7R
JUNB,IL7R
POU1F1,HESX1
POU1F1,PROP1
NFKB1,LEF1
NFKB1,GNRH2
SFPQ,AR
NFKB1,CCNB2
NFKB1,CDC25B
NFKB1,PLK1
SMAD2,CDH1
SREBF1,HMOX1
SREBF2,HMOX1
ARNT,TH
JUN,KIFBP
JUNB,KIFBP
PPARA,CIDEA
PPARG,CIDEA
NFATC2,IL2RA
RUNX1,ANXA1
JDP2,CEBPD
ARNT,IGKV2D-26
NFE2L2,MAPK1
BCL6,PDCD2
TCF7L2,CDX2
FOXA2,AQP3
MYC,CEBPD
MYC,EBP
MYC,RHBDF2
HIF1A,CCL2
HIF1A,CMA1
JUN,HLA-DQB1
JUNB,HLA-DQB1
ZNF143,BUB1B
JUN,CALCB
JUNB,CALCB
NFKB1,CALCB
POU2F1,CYP4A11
JUN,CYP4A11
CEBPG,BPI
HMGA1,PTGS2
SOX6,COMP
SON,COMP
MYC,DKK1
MYC,SFRP1
MYC,WNT2
LYL1,CD4
TCF3,CD4
GLIS3,FGF18
HIF1A,CXCL8
HIF1A,MAPK1
TCF3,ID1
JUN,EPHX2
JUNB,EPHX2
NR1D1,NR1D1
TBP,UGT1A1
CUX1,CXCL14
NFKB1,NPPA
FOXI1,SLC26A4
TLX2,PHOX2A
MAF,CSF2
MAF,IL5
SP8,FGF8
HMGA1,KRAS
HMGA1,CCND1
JUN,HINT1
JUN,DNAJB4
JUNB,DNAJB4
ESRRG,CDKN1B
FOXA2,NEUROD1
JUNB,IFNB1
NR3C1,DUSP1
TBX2,SHH
NRG1,GHRHR
HR,FFAR1
ONECUT1,SERPINA1
ONECUT1,SERPINA10
ONECUT1,SERPINA6
JUN,MYD88
JUNB,MYD88
NFKB1,MYD88
MYOG,CELF1
HLX,CSF1
HIF1A,CXCR1
HIF1A,CXCR2
NFKB1,CXCR1
NFKB1,CXCR2
TP73,NLRC4
NFE2L2,ROS1
PPARA,FABP4
ZNF436,KRT27
ZNF436,ME3
NFKB1,FGG
PPARG,GOT1
RXRA,GOT1
NFKB1,CDKN2A
IRF3,IL27
KLF2,SELL
KLF2,S1PR1
POU5F1,JMJD1C
RREB1,KLK3
JUN,CXCL12
JUNB,CXCL12
NR3C1,HSD11B2
TCF3,ACTA2
TCF3,CCN2
TCF3,FN1
TCF3,TAGLN
JUN,MAP3K8
SALL4,BMI1
MYC,PDGFA
GATA4,ID2
NFKB1,TFF1
ZEB1,HPGD
GATA4,TBX6
TBX18,DLL1
TBX18,NPPA
TBX18,TBX6
SOX6,MYH7
RUNX1,CSF1R
PPARA,FST
PPARG,FST
HIF1A,LGALS3
GFI1,CSF3
GFI1,CXCR4
MYC,RPL11
TBP,IGF1R
JUN,SOCS3
JUNB,SOCS3
JUN,MMP20
PPARG,CIITA
PPARA,ABCA12
PPARG,ABCA12
HEY2,HES1
POU5F1,HES3
POU5F1,HES6
GATA6,NANOG
ZEB1,CDH2
ZEB1,FN1
ZEB1,VIM
HMGA1,XPA
TCF3,TNF
GATA6,CLMP
GATA6,ACTG2
GATA6,ACTA2
POU5F1,ZSCAN10
ZSCAN10,POU5F1
RUNX1,PLEK
JUN,ID2
TBX3,CDKN1A
NFKB1,PHF5A
JUN,ETV1
NFKB1,TREM1
GFI1,PRDM5
NFATC2,CCNA2
MYC,HLA-E
MYC,MYH6
NFKB1,TNFRSF4
NFATC2,CIITA
NR3C1,DEFB4B
MEF2A,ATXN1
GFI1,ARIH2
RUNX1,CD44
HIF1A,CEACAM5
NR1D1,CYP7A1
DLX4,ABCB1
JUN,TLR1
ZBTB16,KIT
SIX3,RHO
NFE2L2,ABCC4
PPARA,PDK1
PPARA,PDK2
PPARA,PDK3
FOXK1,CTSA
MYC,TAT
HIF1A,CDC25A
MYC,RYK
NFKB1,IL1R1
CUX1,HIF1AN
TCF7L2,RUNX2
ATF6,NUCB1
IRF8,CHRNA1
HR,RPE65
MEF2A,PTH
MEF2A,SOST
MYC,ERF
TBP,HBE1
JUN,KDM2B
ESRRG,PLK2
ZNF143,TFAM
ARNT,FGFR1
ARNT,L1CAM
POU1F1,CYC1
NFKB1,FCGRT
TP73,VDR
JUN,MYH6
HMGA1,CRYAB
HMGA1,SMARCA4
NFKB1,HSP90AB1
TP73,TNF
GABPA,UHMK1
MEF2C,ASCL1
JUN,CHKA
IRF3,CDK4
CRX,RBP3
MYC,HK2
MYC,PDK1
MYC,VEGFA
PPARG,REN
PPARA,REN
NFATC2,CTLA4
NR3C1,ANXA1
SMAD3,CYP17A1
NFKB1,SLC16A1
HIVEP1,CRYAA
POU5F1,ESRG
SMAD3,ASPN
MAF,BCL2
NFKB1,S100G
HIF1A,SIM1
PROX1,OGG1
PPARG,PNPLA2
MZF1,PADI1
DLX4,BCL2
DLX4,TNF
CUX1,ICAM1
MYOG,DACH2
HIF1A,SAT1
NFE2L2,ENC1
NFE2L2,NRP1
NFKB1,MGMT
MAF,UBC
